City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,East London,ZA,2020-10-31 07:58:57,-33.02,27.91,64.4,77,75,2.24
128,Sorland,NO,2020-10-31 07:58:57,67.67,12.69,48.2,76,75,21.92
129,Muncar,ID,2020-10-31 07:58:58,-8.43,114.33,81.03,71,100,5.14
130,Ambilobe,MG,2020-10-31 07:58:58,-13.2,49.05,96.6,24,0,5.75
131,Portland,US,2020-10-31 07:54:04,45.52,-122.68,45.0,87,1,3.36
132,Ostrovnoy,RU,2020-10-31 07:58:58,68.05,39.51,30.09,96,40,15.97
133,Kodiak,US,2020-10-31 07:58:58,57.79,-152.41,35.6,55,90,10.29
134,Srandakan,ID,2020-10-31 07:58:59,-7.94,110.25,83.68,71,80,8.81
135,Havelock,US,2020-10-31 07:58:59,34.88,-76.9,55.0,76,1,14.99
136,Neftcala,AZ,2020-10-31 07:58:59,39.37,49.25,73.09,63,25,5.88
137,Kawalu,ID,2020-10-31 07:58:59,-7.38,108.21,80.92,78,70,4.5
138,Fairbanks,US,2020-10-31 07:57:15,64.84,-147.72,10.99,85,90,2.28
139,Lavrentiya,RU,2020-10-31 07:59:00,65.58,-171.0,19.9,89,0,10.45
140,Hit,IQ,2020-10-31 07:59:00,33.64,42.83,82.69,15,0,9.08
141,George,ZA,2020-10-31 07:57:43,-33.96,22.46,60.8,59,20,8.05
142,Cape Town,ZA,2020-10-31 07:55:14,-33.93,18.42,70.0,42,0,24.16
143,Yakeshi,CN,2020-10-31 07:59:01,49.28,120.73,30.25,98,100,10.47
144,Bluff,NZ,2020-10-31 07:59:01,-46.6,168.33,48.99,87,69,15.01
145,Kidal,ML,2020-10-31 07:59:01,18.44,1.41,81.25,16,0,19.44
146,Kavieng,PG,2020-10-31 07:59:03,-2.57,150.8,83.08,73,100,7.67
147,Sitka,US,2020-10-31 07:59:03,57.05,-135.33,46.4,87,90,17.22
148,Juba,SS,2020-10-31 07:59:04,4.85,31.58,86.61,53,24,3.8
149,Tambovka,RU,2020-10-31 07:59:05,50.1,128.05,37.4,69,40,4.47
150,Vila Franca Do Campo,PT,2020-10-31 07:59:05,37.72,-25.43,69.8,94,75,14.99
151,Kisangani,CD,2020-10-31 07:59:05,0.52,25.2,77.0,88,75,3.36
152,Embu-Guacu,BR,2020-10-31 07:59:06,-23.85,-46.84,66.99,87,90,9.17
153,Terra Boa,BR,2020-10-31 07:59:06,-23.77,-52.44,58.82,83,21,11.34
154,New Norfolk,AU,2020-10-31 07:59:06,-42.78,147.06,62.01,40,5,1.99
155,Teguise,ES,2020-10-31 07:59:06,29.06,-13.56,69.8,56,0,9.17
156,Torbay,CA,2020-10-31 07:59:07,47.67,-52.73,36.0,64,90,13.87
157,Mehamn,NO,2020-10-31 07:59:08,71.04,27.85,27.54,90,24,12.26
158,Pisco,PE,2020-10-31 07:54:18,-13.7,-76.22,63.0,93,90,4.7
159,Tigil,RU,2020-10-31 07:59:08,57.8,158.67,30.81,94,75,5.84
