City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
188,Kambove,CD,81.7,-10.88,26.6,Couvant des soeurs catholiques
189,Butaritari,KI,82.2,3.07,172.79,Isles Sunset Lodge
191,Tura,IN,79.36,25.52,90.22,Hotel RIKMAN Continental
192,Kishapu,TZ,82.98,-3.62,33.87,Special seat Guest House
197,Kimbe,PG,77.76,-5.55,150.14,Kimbe Bay Hotel
199,Iralaya,HN,79.77,15.0,-83.23,Iglesia morava renovada
213,Sabang,ID,82.38,5.89,95.32,Hotel Citra
217,Vung Tau,VN,83.66,10.35,107.08,Seaside Resort
218,Xuddur,SO,82.47,4.12,43.89,Banjanay Hotel
222,Victoria,HK,78.8,22.29,114.16,Mini Hotel Central
224,Port Hedland,AU,89.6,-20.32,118.57,The Esplanade Hotel
225,Bol,TD,82.51,13.46,14.71,Hotel 3 Etoiles
227,Manadhoo,MV,82.69,5.77,73.38,Vevu Guesthouse
228,Sinnamary,GF,78.37,5.38,-52.95,ALETHEIA Appartement Sinnamary
232,Lundazi,ZM,85.26,-12.29,33.18,Country 24 Lodge
235,Vanimo,PG,82.47,-2.67,141.3,Vahmoneh Lodge Vanimo
239,Chiredzi,ZW,80.17,-21.05,31.67,The Nesbitt Arms
244,Nioki,CD,78.24,-2.72,17.68,
250,Tual,ID,83.75,-5.67,132.75,Grand Vilia Hotel
251,Luganville,VU,78.39,-15.53,167.17,The Espiritu Hotel
255,Santa Cruz Cabralia,BR,75.2,-16.28,-39.02,Portobali Hotel
262,Cockburn Town,TC,82.74,21.46,-71.14,Osprey Beach Hotel
264,Port Blair,IN,84.16,11.67,92.75,Fortune Resort Bay Island
265,Saint-Georges,GD,78.8,12.06,-61.75,Siesta Hotel
266,Loubomo,CG,78.03,-4.2,12.67,La Dolisienne
269,Ugoofaaru,MV,82.8,5.67,73.0,Ungoofaaru Inn
274,Olinda,BR,80.6,-8.01,-34.86,Hotel 5 Sóis
280,Corn Island,NI,82.94,12.17,-83.04,Big Fish Guest House
282,Salalah,OM,87.8,17.02,54.09,HAMDAN PLAZA HOTEL
284,Sambava,MG,75.36,-14.27,50.17,Melrose
287,Odienne,CI,75.6,9.51,-7.57,Oustaz Vame DIAKITE
293,Inhambane,MZ,82.4,-23.86,35.38,Oceano
299,Sulangan,PH,83.28,11.14,123.72,Maia's Beach Resort
300,Lagos,NG,78.8,6.58,3.75,
302,Sola,VU,80.55,-13.88,167.55,Ulkel Guest House
305,Carnarvon,AU,77.0,-24.87,113.63,Hospitality Carnarvon
309,Ambikapur,IN,82.4,23.12,83.2,STARiHOTEL Ambikapur
310,Xai-Xai,MZ,78.73,-25.05,33.64,Platinum Hotel
313,Larap,PH,82.17,14.3,122.65,Mambulao Pacific Resort & Hotel
315,Menongue,AO,81.66,-14.66,17.69,Ritz Lauca
319,Grand-Lahou,CI,80.26,5.14,-5.02,Hotel Beatitude de Grand Lahou
323,Filingue,NE,86.25,14.35,3.32,
324,Quelimane,MZ,87.48,-17.88,36.89,Hotel Flamingo
325,Yulara,AU,87.8,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
326,Mareeba,AU,82.4,-17.0,145.43,Trinity Plains Tourist Park
332,Bontang,ID,81.01,0.13,117.5,Okra Leaf Guest House Syariah
335,Sao Goncalo Do Amarante,BR,80.01,-3.61,-38.97,Albergue Parque Olaria
337,Belmonte,BR,75.2,-15.86,-38.88,Pousada Monte Carmelo O Pão
341,Dzaoudzi,YT,82.4,-12.79,45.27,Le Rocher
344,Lucapa,AO,78.62,-8.42,20.74,Residência Ulisses Dos Santos
345,Kralendijk,BQ,80.6,12.15,-68.27,Divi Flamingo Beach Resort & Casino
346,Boyolangu,ID,78.58,-8.12,111.89,Yos ega cv
352,Lakatoro,VU,79.59,-16.1,167.42,Lakatoro Palm Lodge
353,Touros,BR,75.2,-5.2,-35.46,INN NEW HORIZON
362,Ikalamavony,MG,79.92,-21.15,46.58,
364,Auki,SB,79.54,-8.77,160.7,Auki Motel
367,Labuhan,ID,85.59,-6.88,112.21,bador sepret
370,Hobyo,SO,83.19,5.35,48.53,Osmani Hotel
371,Padang,ID,84.13,-0.95,100.35,Mercure Padang
374,Sao Filipe,CV,79.34,14.9,-24.5,Tortuga B&B
375,Papara,BR,80.01,-3.98,-38.73,Bela vista Maranguape
376,Nioro,GM,75.38,13.35,-15.75,
379,Doha,QA,87.8,25.29,51.53,Doha Marriott Hotel
380,Beihai,CN,77.86,21.48,109.1,21 Degree Hostel
381,Panalingaan,PH,79.47,8.78,117.42,
382,Gat,IL,80.01,31.61,34.76,OlusHome
387,Nikki,BJ,81.86,9.94,3.21,Hotel John
389,Jiaocheng,CN,82.71,24.68,116.14,Changtan Tourism Resort
393,Urucui,BR,77.05,-7.23,-44.56,Formula Flat Uruçui
397,Sai Buri,TH,86.0,6.7,101.62,ร้าน​ เวดดิ้ง
400,Nonthaburi,TH,90.0,13.75,100.5,Pathumwan Princess Hotel
401,Ambunti,PG,81.9,-4.24,142.84,Ambunti Lodge
405,Bac Lieu,VN,85.21,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
